word,type_word,level,uk_mp3,uk_ogg,us_mp3,us_ogg
accountability,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountability__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountability__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountability__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountability__us_1.ogg
accountable,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountable__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountable__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountable__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountable__us_1.ogg
accountant,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountant__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountant__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountant__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountant__us_1.ogg
accounting,noun,,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accounting__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accounting__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accounting__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accounting__us_1.ogg
accumulate,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accum/accumulate__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulate__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulate__us_1.ogg
accumulation,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulation__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accum/accumulation__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulation__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulation__us_1.ogg
accuracy,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accuracy__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accur/accuracy__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accuracy__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accuracy__us_1.ogg
accurate,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurate__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accur/accurate__gb_3.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurate__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurate__us_1.ogg
accurately,adverb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurately__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accur/accurately__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurately__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurately__us_1.ogg
accusation,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accusation__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accus/accusation__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accusation__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accusation__us_1.ogg
accuse,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accuse__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accus/accuse__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accuse__us_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accuse__us_2.ogg
accused,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accused__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accus/accused__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accused__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accused__us_1.ogg
achieve,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ach/achie/achieve__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ach/achie/achieve__us_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achieve__us_2.ogg
achievement,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achievement__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ach/achie/achievement__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ach/achie/achievement__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achievement__us_1.ogg
acid,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acid_/acid__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aci/acid_/acid__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aci/acid_/acid__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg
acid,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acid_/acid__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aci/acid_/acid__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aci/acid_/acid__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg
acknowledge,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ack/ackno/acknowledge__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ack/ackno/acknowledge__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ack/ackno/acknowledge__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ack/ackno/acknowledge__us_1.ogg
acquire,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquire__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acq/acqui/acquire__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acq/acqui/acquire__us_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquire__us_2.ogg
acquisition,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquisition__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acq/acqui/acquisition__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acq/acqui/acquisition__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquisition__us_1.ogg
